id,address,city
49848,"Office#8/2, Sheraz Plaza, Main Market Gulberg II,",Lahore
54326,"11-B, Old FCC, Off Ferozepur Road   ",Lahore
77804,"Khokhar Road,Badamibagh",Lahore
56040,"Jam-e-Shirin Boulevard 15-G, Gulberg-III",Lahore
78019,"Fahd Plaza,14-L,Gulberg-III",Lahore
78020,"2-New G.T. Road,Shahdara",Lahore
78021,"128 Tufail Road,Cantt.",Lahore
78443,"168-R,Model Town",Lahore
78444,153-Habibullah Road,Lahore
78551,"22-KM.,Off. Ferozepur Road",Lahore
79405,"90-H,Model Town",Lahore
79406,"Mian Chambers,3-Temple Road",Lahore
79515,"26-A,Paisa Akhbar,Anarkali",Lahore
79516,"129-C,Rehmanpura",Lahore
79517,"85-P,Model Town Extension",Lahore
79734,"22-A,Queens Road",Lahore
79735,"Azmat House,32-Davis Road",Lahore
79736,"15-Roberts Road,Nila Gumbad",Lahore
79947,"4-A,Mazang Road",Lahore
80159,"149,Ferozepur Road",Lahore
80160,149-Ferozepur Road,Lahore
80161,"149,Ferozepur Road",Lahore
80162,3-Riwaz Garden,Lahore
80371,186-Loha Market,Lahore
80372,"425-K,Model Town",Lahore
80588,4-Lawrence Road,Lahore
80589,6-Egerton Road,Lahore
80701,"205,Eden Centre,43-Jail Road",Lahore
80702,"132-A,G.T.Road",Lahore
80806,"38,Peco Road,Badami Bagh",Lahore
80807,1-Brandreth Road,Lahore
80915,"Badar Centre,86-Railway Road",Lahore
75681,"219-C-1,Sarwar Road,Cantt.",Lahore
76209,"5-E/1,Gulberg-III",Lahore
76318,"Plastic Market,Shahalam",Lahore
73932,"1st Floor, hajvery Plaza, 40 Abbot Road, Opp PTV Station",Lahore
73997,"2nd Floor, 1-C-1, Canal Bank Road Canal Park, Gulberg II,",Lahore
74009,"Suite No.1, First Floor, Al Malik Plaza, 19 Davis Road",Lahore
76426,"137-A,F.T.N.",Lahore
74034,"Hangar No. 1, ADA Gate, Old Terminal, Hangar No. 1, ADA Gate, Old Terminal,",Lahore
76427,"88-A,Main Gulberg",Lahore
76428,"City Tower,12-Abbot Road",Lahore
76429,"Nishter Road,12-Azeem Street",Lahore
76538,18-Empress Road,Lahore
75540,Head Office 36-The Mall,Lahore
75589,107-Lyton Road,Lahore
75590,"97/A Jail Road,Off Canal Bank",Lahore
75591,"955-L,Johar Town,Phase-II",Lahore
75592,"Sh.Khalid Siddique Comm.Agent,Hide Market",Lahore
75593,"35-Industrial Area,Gulberg-III",Lahore
75594,"YMCA Building,16 Shahrah-e-Quaid-e-Azam",Lahore
75595,"Dogran Kalan,G.T.Road,Batapur",Lahore
75596,21-KM.Ferozepur Road,Lahore
75597,"20-Usman Market,Hall Road",Lahore
75598,"91-Bank Square Market,Model Town",Lahore
75599,"Dyal Singh Mansion,66-The Mall",Lahore
75600,"#469,Shadman #1",Lahore
75601,"10/6,Lawrance Road",Lahore
75602,"Faisal Town,Main Road",Lahore
75603,"G-50,Defence Housing Society",Lahore
75604,"CCA-8,Phase-4,Comm. Area,D.H.A.",Lahore
75605,"7,2nd Floor,Imtiaz Plaza,The Mall",Lahore
75606,"# 107,1st Floor,Stock Exchange Building,19-Khy.Aiwan-e-Iqbal",Lahore
75607,"21,Baghwan Street #3,Church Road",Lahore
75608,"239-A/3,Gulberg-III",Lahore
75609,"S-4,2nd Floor,Ahad Heights,Mini Market,Gulberg-II",Lahore
75610,"47/B-2,M.M. Alam Road,Gulberg-III",Lahore
75611,"5-A,Canal Park,Gulberg",Lahore
75613,"100/Dilshad Street #18/9,Shalimar Town,G.T.Road",Lahore
75614,"181-M,LCCHS,Defence",Lahore
75615,"7,Rehmat Market,109-Layton Road",Lahore
75616,"Ibrahim Centre,1-A,Ahmed Block,New Garden Town",Lahore
75617,"Gardee Trust Building No.2,Napier Road",Lahore
75618,69-LG. Hafeez Centre,Lahore
75619,"1st Floor,Nila Gumbad,Pakistan Cycle Market",Lahore
75620,"Iqbal Centre,Rehman Street # 5,Nishtar Road",Lahore
75621,"5-E/1,Gulberg-III",Lahore
75622,"Near Steel Mills Stop,Opp.Gulshan-e-Ravi,Indus.Plot,Bund Road",Lahore
75623,"506-509,Alfalah Building,Shahrah-e-Quaid-e-Azam",Lahore
75624,"129-G.B. Stand,Badami Bagh",Lahore
75625,"Plot No.4,Street No.12,Swami Nagar Road,Ghoray Shah",Lahore
75626,"20-KM.Ferozepur Road,(Near Glaxo Town)",Lahore
75627,16-Abbot Road,Lahore
75628,122-Shadman Colony,Lahore
75629,300-Shadbagh,Lahore
75630,"66/A,Industrial Area,Loha Market",Lahore
75631,"#8,2nd Floor,Patiala Complex,2-Link Mcleod Road",Lahore
75632,"1-Manohar Street,Nicholson Road",Lahore
75633,"Azeem Mansion,5-Royal Park",Lahore
75634,"22,1st Floor,Taj Arcade,73-Jail Road",Lahore
75635,"5-Khokhar Town,Rashid Road",Lahore
75636,"T-32,Bilal Centre,9-Nicholson Road",Lahore
75637,"Suite No.3,4th Floor,Shan Arcade,New Garden Town",Lahore
75638,"F-9,Hillview Arcade,5-Davis Road",Lahore
75639,"2-B,Zaildar Park Ichra,Ferozepur Road",Lahore
75640,"68/2,Lahore Carpets Market,Fleming Road",Lahore
75641,"109,Rehmat Market,Lytton Road",Lahore
75642,"# 1,3rd Floor,Central Plaza,Barkat Market,New Garden Town",Lahore
75643,"81-J,Mehraj Manzil,Near Kamal Hosiery,Bund Road,Gulshan-e-Ravi",Lahore
75644,"11-A,Block-G.M.A.Johar Town,Opp.International School",Lahore
75645,New Anarkali,Lahore
75646,"117,Riwaz Garden",Lahore
75647,"297-G,Gulshan-e-Ravi Scheme",Lahore
75648,"Spencer's Building,18-Empress Road",Lahore
75649,"25/5,Main Multan Road",Lahore
75650,"90,Shah Jamal",Lahore
75651,"Godown 114,Near Safaid Masjid,Misri Shah",Lahore
75652,"F.B-47,Wahdat Colony",Lahore
75653,19-KM Multan Road,Lahore
75654,"897-B,Faisal Town",Lahore
75655,"Office# 311,Eden Centre,43-Jail Road",Lahore
75656,"42,3rd Floor,Sadiq Plaza,69,Shahrah-e-Quaid-e-Azam",Lahore
75657,"Plot #128,Timber Market,Ravi Road",Lahore
75658,"Ghazi Road,Street #4,Near General Hospital",Lahore
75659,"27,1st Floor,Hafeez Centre,Gulberg-III",Lahore
75660,"8,2nd Floor,Saleem Chambers,114-Mcleod Road",Lahore
75661,8-Queen's Road,Lahore
75662,"Street #1,Akbar Road,New Ellahi Park,Kachipura",Lahore
75663,"79,Central Comm. Area,Phase-II,L.C.C.H.S.",Lahore
75664,"33-C,Behind Mall Mansion,30,Shahrah-e-Quaid-e-Azam",Lahore
75665,"H-1272,Akbari Mandi",Lahore
75666,"16,Rehman Gali No.1,Brandrath Road",Lahore
75667,"2 Lower GF,Railway Plaza,Garhi Shahu",Lahore
75668,"12 Leeds Centre,3rd Floor,Gulberg-III",Lahore
75669,"E-10,Street No.1,Yasin Town",Lahore
75670,"F-6,2nd Floor, Zatoon Plaza",Lahore
75671,"1-B,Farah Centre,2-Mozang Road",Lahore
75672,"691-X,L.C.C.H.S,Cantt.",Lahore
